;Date;sentiment
175;2009-04-21;-0.13373807
176;2009-04-22;-0.14075181
177;2009-04-23;-0.22314772
178;2009-04-24;-0.24622945
179;2009-04-27;-0.08596848
180;2009-04-28;-0.24124746
181;2009-04-29;0.016951937
182;2009-04-30;-0.45686856
183;2009-05-01;-0.31952447
184;2009-05-04;-0.52615196
185;2009-05-05;-0.4035243
186;2009-05-06;-0.06755803
187;2009-05-07;0.03791563
188;2009-05-08;-0.07401839
189;2009-05-11;-0.108819604
190;2009-05-12;-0.06004355
191;2009-05-13;-0.33147368
192;2009-05-14;-0.29820907
193;2009-05-15;-0.08715433
194;2009-05-18;-0.27205116
195;2009-05-19;-0.6771573
196;2009-05-20;-0.7785801
197;2009-05-21;-0.6106263
198;2009-05-22;-0.3716919
199;2009-05-26;-0.68165123
200;2009-05-27;-0.53223467
201;2009-05-28;0.22542992
202;2009-05-29;-0.53832114
203;2009-06-01;-0.11265956
204;2009-06-02;-0.0061129825
205;2009-06-03;-0.19336112
206;2009-06-04;-0.26284543
207;2009-06-05;-0.448141
208;2009-06-08;-0.16735803
209;2009-06-09;-0.45196256
210;2009-06-10;0.008466887
211;2009-06-11;-0.23940119
212;2009-06-12;-0.19835567
213;2009-06-15;-0.45917144
214;2009-06-16;-0.20684285
215;2009-06-17;-0.4289256
216;2009-06-18;-0.54123867
217;2009-06-19;-0.19256495
218;2009-06-22;-0.23682761
219;2009-06-23;-0.42886814
220;2009-06-24;-0.6601347
221;2009-06-25;-0.34904462
222;2009-06-26;-0.5360538
223;2009-06-29;-0.38206702
224;2009-06-30;-0.57040656
225;2009-07-01;-0.27905113
226;2009-07-02;-0.16220114
227;2009-07-06;-0.35697132
228;2009-07-07;-0.3910965
229;2009-07-08;-0.31936678
230;2009-07-09;-0.101668656
231;2009-07-10;-0.3678631
232;2009-07-13;-0.34861392
233;2009-07-14;-0.77863795
234;2009-07-15;-0.5490403
235;2009-07-16;-0.079596266
236;2009-07-17;-0.3362092
237;2009-07-20;-0.67108214
238;2009-07-21;-0.34202358
239;2009-07-22;-0.41400796
240;2009-07-23;-0.44826278
241;2009-07-24;-0.28976378
242;2009-07-27;-0.46056443
243;2009-07-28;-0.5083438
244;2009-07-29;-0.4625164
245;2009-07-30;-0.41644555
246;2009-07-31;-0.27351785
247;2009-08-03;-0.41121262
248;2009-08-04;-0.29483786
249;2009-08-05;-0.45961982
250;2009-08-06;-0.2007546
251;2009-08-07;-0.656431
252;2009-08-10;-0.4686951
253;2009-08-11;-0.49671674
254;2009-08-12;0.073170744
255;2009-08-13;-0.33725038
256;2009-08-14;0.026209876
257;2009-08-17;0.029805094
258;2009-08-18;-0.23126909
259;2009-08-19;-0.21940377
260;2009-08-20;-0.30796254
261;2009-08-21;-0.44163424
262;2009-08-24;-0.38751295
263;2009-08-25;-0.70408165
264;2009-08-26;-0.032215547
265;2009-08-27;-0.5231615
266;2009-08-28;-0.6109543
267;2009-08-31;-0.225198
268;2009-09-01;-0.07582264
269;2009-09-02;-0.5099373
270;2009-09-03;-0.64249134
271;2009-09-04;-0.4741098
272;2009-09-08;-0.41494435
273;2009-09-09;-0.3299654
274;2009-09-10;-0.019695787
275;2009-09-11;-0.3724397
276;2009-09-14;-0.12541099
277;2009-09-15;-0.16678372
278;2009-09-16;-0.17749687
279;2009-09-17;-0.3376457
280;2009-09-18;-0.4016234
281;2009-09-21;-0.53342545
282;2009-09-22;0.06455125
283;2009-09-23;-0.7002367
284;2009-09-24;-0.5155307
285;2009-09-25;-0.26830527
286;2009-09-28;-0.23276666
287;2009-09-29;-0.57494485
288;2009-09-30;0.27993375
289;2009-10-01;-0.32605538
290;2009-10-02;-0.3043564
291;2009-10-05;-0.4123848
292;2009-10-06;-0.48310488
293;2009-10-07;-0.23462696
294;2009-10-08;-0.47314963
295;2009-10-09;-0.36792678
296;2009-10-12;0.07726033
297;2009-10-13;-0.54022044
298;2009-10-14;-0.084863506
299;2009-10-15;0.024086082
300;2009-10-16;-0.2529291
301;2009-10-19;-0.58376217
302;2009-10-20;-0.35503253
303;2009-10-21;0.18257952
304;2009-10-22;-0.10647758
305;2009-10-23;-0.29293346
306;2009-10-26;-0.4722435
307;2009-10-27;-0.16801831
308;2009-10-28;-0.32524925
309;2009-10-29;-0.21385297
310;2009-10-30;-0.5142153
311;2009-11-02;-0.1609835
312;2009-11-03;0.09765606
313;2009-11-04;-0.25057682
314;2009-11-05;-0.29188895
315;2009-11-06;-0.57109773
316;2009-11-09;-0.53920853
317;2009-11-10;-0.14399591
318;2009-11-11;-0.26989022
319;2009-11-12;-0.3686606
320;2009-11-13;-0.2969592
321;2009-11-16;-0.4346198
322;2009-11-17;-0.27193433
323;2009-11-18;-0.17985423
324;2009-11-19;-0.51793504
325;2009-11-20;-0.48806795
326;2009-11-23;-0.47775808
327;2009-11-24;-0.25311542
328;2009-11-25;-0.26336095
329;2009-11-27;-0.07342178
330;2009-11-30;-0.51430106
331;2009-12-01;-0.6877967
332;2009-12-02;-0.25958455
333;2009-12-03;-0.17469506
334;2009-12-04;-0.5299901
335;2009-12-07;-0.4367009
336;2009-12-08;-0.40683156
337;2009-12-09;-0.17522705
338;2009-12-10;-0.13817237
339;2009-12-11;-0.28772172
340;2009-12-14;-0.44481596
341;2009-12-15;-0.1456277
342;2009-12-16;-0.48532662
343;2009-12-17;-0.544009
344;2009-12-18;-0.050618093
345;2009-12-21;-0.2568817
346;2009-12-22;-0.13454154
347;2009-12-23;-0.29625493
348;2009-12-24;-0.6066302
349;2009-12-28;-0.34636667
350;2009-12-29;-0.22297183
351;2009-12-30;-0.59536016
352;2009-12-31;-0.46553737
353;2010-01-04;-0.43266687
354;2010-01-05;-0.62827754
355;2010-01-06;-0.17274824
356;2010-01-07;-0.02493019
357;2010-01-08;-0.40015906
358;2010-01-11;-0.20188339
359;2010-01-12;-0.6948246
360;2010-01-13;-0.043363083
361;2010-01-14;-0.2432357
362;2010-01-15;-0.23619187
363;2010-01-19;-0.60569274
364;2010-01-20;-0.17850663
365;2010-01-21;-0.41566187
366;2010-01-22;-0.061092567
367;2010-01-25;-0.32699093
368;2010-01-26;-0.16305871
369;2010-01-27;-0.18183526
370;2010-01-28;-0.33639723
371;2010-01-29;-0.34699908
372;2010-02-01;-0.4996031
373;2010-02-02;-0.5192237
374;2010-02-03;-0.2575506
375;2010-02-04;-0.48912054
376;2010-02-05;-0.2387341
377;2010-02-08;-0.014469889
378;2010-02-09;-0.28098193
379;2010-02-10;-0.5509679
380;2010-02-11;-0.31144914
381;2010-02-12;-0.29806828
382;2010-02-16;-0.6650986
383;2010-02-17;-0.31164366
384;2010-02-18;-0.352889
385;2010-02-19;-0.14374854
386;2010-02-22;-0.24095404
387;2010-02-23;-0.2631777
388;2010-02-24;-0.28929028
389;2010-02-25;-0.06139527
390;2010-02-26;-0.24454613
391;2010-03-01;-0.34980845
392;2010-03-02;-0.10714407
393;2010-03-03;-0.07220878
394;2010-03-04;-0.4393488
395;2010-03-05;-0.0056055905
396;2010-03-08;-0.5383425
397;2010-03-09;-0.18599877
398;2010-03-10;-0.14205393
399;2010-03-11;-0.66592056
400;2010-03-12;-0.17603394
401;2010-03-15;-0.091356955
402;2010-03-16;-0.14313935
403;2010-03-17;-0.3438607
404;2010-03-18;-0.1608978
405;2010-03-19;-0.23790169
406;2010-03-22;-0.5459279
407;2010-03-23;-0.46103725
408;2010-03-24;-0.41875094
409;2010-03-25;-0.018160056
410;2010-03-26;-0.44149923
411;2010-03-29;-0.3544069
412;2010-03-30;-0.21425274
413;2010-03-31;-0.54640305
414;2010-04-01;-0.3464841
415;2010-04-05;-0.2838043
416;2010-04-06;-0.38010257
417;2010-04-07;-0.55073315
418;2010-04-08;-0.48513192
419;2010-04-09;-0.27736673
420;2010-04-12;-0.06019499
421;2010-04-13;-0.12651221
422;2010-04-14;-0.29031563
423;2010-04-15;-0.5570496
424;2010-04-16;-0.3474067
425;2010-04-19;-0.3757561
426;2010-04-20;-0.139905
